,restaurant_name,type,type_of_cuisine,address,street,zip_code,city_name,coordinates,latitude,longitude,opening_hours,database
1860,Ciao Bella Eastgate,Restaurant,italian,Marzahner Promenade 1A Marzahn 12679 Berlin,Marzahner Promenade 1A,12679,Marzahn,"52.54329, 13.54351",52.54329,13.54351,"Mon-Thu: 10:00 - 20:00 Fri, Sat: 10:00 - 21:00",here_maps
1861,Immergrün,Restaurant,fastfood,Marzahner Promenade Marzahn 12679 Berlin,Marzahner Promenade,12679,Marzahn,"52.54276, 13.54422",52.54276,13.54422,Mon-Sat: 10:00 - 20:00,here_maps
1862,Van Lang Restaurant,Restaurant,asian,Marzahner Promenade 42 Marzahn 12679 Berlin,Marzahner Promenade 42,12679,Marzahn,"52.54545, 13.55308",52.54545,13.55308,"Mon, Wed, Thu: 11:00 - 22:00 Fri-Sun: 11:00 - 22:30",here_maps
1863,King Wok - le Prom,Restaurant,asian,Märkische Allee 176 Marzahn 12681 Berlin,Märkische Allee 176,12681,Marzahn,"52.5419, 13.54172",52.5419,13.54172,Mon-Sun: 11:30 - 23:00,here_maps
1864,La Gondola Eiscafé,Food & Drink,breakfast/dessert,Marzahner Promenade 31 Marzahn 12679 Berlin,Marzahner Promenade 31,12679,Marzahn,"52.54492, 13.54955",52.54492,13.54955,Mon-Sun: 10:00 - 19:00,here_maps
1865,BURGER KING,Snacks/Fast food,fastfood,Marzahner Promenade 1 Marzahn 12679 Berlin,Marzahner Promenade 1,12679,Marzahn,"52.54272, 13.5424",52.54272,13.5424,Mon-Sat: 09:00 - 23:00 Sun: 10:00 - 23:00,here_maps
1866,Mumbai,Restaurant,asian,Marzahner Promenade 1A Marzahn 12679 Berlin,Marzahner Promenade 1A,12679,Marzahn,"52.54329, 13.54351",52.54329,13.54351,Mon-Sat: 10:00 - 22:00,here_maps
1867,Esswirtschaft,Restaurant,,Marzahner Promenade 36 Marzahn 12679 Berlin,Marzahner Promenade 36,12679,Marzahn,"52.54498, 13.55086",52.54498,13.55086,,here_maps
1868,Play Off Berlin,Snacks/Fast food,european,Märkische Allee Marzahn 12681 Berlin,Märkische Allee,12681,Marzahn,"52.53726, 13.53815",52.53726,13.53815,,here_maps
1869,Cafe Restaurant Regina,Restaurant,european,Am Schmeding 5 Marzahn 12685 Berlin,Am Schmeding 5,12685,Marzahn,"52.53656, 13.54487",52.53656,13.54487,,here_maps
1870,Natürlich Essen Berlin-Brandenburg,Business/Industry,,Bitterfelder Straße 19 Marzahn 12681 Berlin,Bitterfelder Straße 19,12681,Marzahn,"52.55353, 13.53962",52.55353,13.53962,,here_maps
1871,Ristorante BB Paparazzi,Restaurant,european,BrunoBaumStraße 71 Marzahn 12685 Berlin,BrunoBaumStraße 71,12685,Marzahn,"52.53605, 13.54282",52.53605,13.54282,,here_maps
1872,Landhaus Marzahner Krug,Restaurant,asian,AltMarzahn 49 Marzahn 12685 Berlin,AltMarzahn 49,12685,Marzahn,"52.54346, 13.56119",52.54346,13.56119,Mon-Sun: 11:30 - 12:00,here_maps
1873,Zur Kleinen Pause,Restaurant,,Boxberger Straße 4 Marzahn 12681 Berlin,Boxberger Straße 4,12681,Marzahn,"52.5458, 13.53717",52.5458,13.53717,Mon-Fri: 06:30 - 14:00,here_maps
1874,Burgerme,Restaurant,,Allee der Kosmonauten 151A Marzahn 12681 Berlin,Allee der Kosmonauten 151A,12681,Marzahn,"52.53428, 13.55088",52.53428,13.55088,Mon-Sun: 11:00 - 23:00,here_maps
1875,BB-Tea For You...,Restaurant,,Allee der Kosmonauten Marzahn 12681 Berlin,Allee der Kosmonauten,12681,Marzahn,"52.533962, 13.55088",52.533962,13.55088,,here_maps
1876,Marzano,Restaurant,mediterranean,Mehrower Allee 18 Marzahn 12687 Berlin,Mehrower Allee 18,12687,Marzahn,"52.55611, 13.55849",52.55611,13.55849,Mon-Sun: 11:00 - 00:00,here_maps
1877,Sushi For You,Eat & Drink,asian,Allee der Kosmonauten 151C Marzahn 12681 Berlin,Allee der Kosmonauten 151C,12681,Marzahn,"52.53427, 13.55154",52.53427,13.55154,"Mon-Thu, Sun: 11:00 - 23:00 Fri, Sat: 11:00 - 23:30",here_maps
1878,Cafe 4 Landen,Restaurant,european,Vierlandenstraße 43 Marzahn 12685 Berlin,Vierlandenstraße 43,12685,Marzahn,"52.53545, 13.55643",52.53545,13.55643,,here_maps
1879,Eiskristal,Eat & Drink,middle eastern,LudwigRennStraße 72 Marzahn 12687 Berlin,LudwigRennStraße 72,12687,Marzahn,"52.55524, 13.55992",52.55524,13.55992,,here_maps
1880,Calypso,Restaurant,european,Geißenweide 6 Marzahn 12685 Berlin,Geißenweide 6,12685,Marzahn,"52.53459, 13.56195",52.53459,13.56195,Mon-Sat: 12:00 - 23:00 Sun: 12:00 - 18:00,here_maps
1881,Akis Cafe und Bar,Going Out,,JanPetersenStraße 20 Marzahn 12679 Berlin,JanPetersenStraße 20,12679,Marzahn,"52.54987, 13.56338",52.54987,13.56338,,here_maps
1882,Bistro Castello,Restaurant,international,Kienbergstraße 21 Marzahn 12685 Berlin,Kienbergstraße 21,12685,Marzahn,"52.53671, 13.56362",52.53671,13.56362,,here_maps
1883,Kokoro,Restaurant,asian,Geißenweide 6 Marzahn 12685 Berlin,Geißenweide 6,12685,Marzahn,"52.53459, 13.56195",52.53459,13.56195,Mon-Thu: 16:00 - 22:00 Fri-Sun: 12:00 - 22:30,here_maps
1884,Restaurant la Plata,Restaurant,,Allee der Kosmonauten 151A Marzahn 12681 Berlin,Allee der Kosmonauten 151A,12681,Marzahn,"52.53428, 13.55088",52.53428,13.55088,,here_maps
1885,Doy Doy,Restaurant,middle eastern,Fichtelbergstraße 5 Marzahn 12685 Berlin,Fichtelbergstraße 5,12685,Marzahn,"52.53437, 13.55261",52.53437,13.55261,,here_maps
1886,Restaurant-Automatencasino,Restaurant,,LudwigRennStraße 72 Marzahn 12687 Berlin,LudwigRennStraße 72,12687,Marzahn,"52.55524, 13.55992",52.55524,13.55992,,here_maps
1887,Grüne Geiß,Food & Drink,breakfast/dessert,Allee der Kosmonauten 151 Marzahn 12681 Berlin,Allee der Kosmonauten 151,12681,Marzahn,"52.5345, 13.55131",52.5345,13.55131,Mon-Fri: 07:30 - 19:00 Sat: 08:00 - 14:00,here_maps
1888,Sakura Garten,Restaurant,asian,AltMarzahn 70 Marzahn 12685 Berlin,AltMarzahn 70,12685,Marzahn,"52.54214, 13.56314",52.54214,13.56314,Mon-Sun: 11:00 - 22:00,here_maps
1889,Happy Burger Marzahn,Snacks/Fast food,fastfood,Märkische Allee Marzahn 12687 Berlin,Märkische Allee,12687,Marzahn,"52.55775, 13.55446",52.55775,13.55446,,here_maps
1890,Ari's Diner,Snacks/Fast food,fastfood,Fichtelbergstraße 5 Marzahn 12685 Berlin,Fichtelbergstraße 5,12685,Marzahn,"52.53437, 13.55261",52.53437,13.55261,,here_maps
1891,Cafe Krumelkeks,Restaurant,breakfast/dessert,Allee der Kosmonauten 151F Marzahn 12681 Berlin,Allee der Kosmonauten 151F,12681,Marzahn,"52.53478, 13.55169",52.53478,13.55169,Mon-Sun: 09:00 - 19:00,here_maps
1892,Polizeikantine Marzahn Dir.6,Restaurant,,Märkische Allee 174 Marzahn 12681 Berlin,Märkische Allee 174,12681,Marzahn,"52.53554, 13.5379",52.53554,13.5379,Mon-Thu: 06:30 - 14:00 Fri: 06:30 - 13:30,here_maps
1893,Café Gorodok - Russische Spezialitäten,Food & Drink,russian,JanPetersenStraße 20 Marzahn 12679 Berlin,JanPetersenStraße 20,12679,Marzahn,"52.54987, 13.56338",52.54987,13.56338,,here_maps
1894,Madi - Zelt der Sinne,"Theatre, Music & Culture",mediterranean,Bernauer Straße Tegel 13507 Berlin,Bernauer Straße,13507,Tegel,"52.575315, 13.293836",52.575315,13.293836,Mon-Fri: 10:00 - 14:00 Sat: 16:00 - 19:00,here_maps
1895,BURGER KING,Restaurant,,Holzhauser Straße Tegel 13509 Berlin,Holzhauser Straße,13509,Tegel,"52.57848, 13.2978",52.57848,13.2978,Mon-Sat: 09:00 - 23:59 Sun: 10:00 - 01:00,here_maps
1896,Dubrovnik,Restaurant,european,Berliner Straße 54 Tegel 13507 Berlin,Berliner Straße 54,13507,Tegel,"52.57698, 13.29336",52.57698,13.29336,Mon-Sun: 11:00 - 23:00,here_maps
1897,Kimiko-Sushi.De,Restaurant,asian,Holzhauser Straße 48 Tegel 13509 Berlin,Holzhauser Straße 48,13509,Tegel,"52.57924, 13.30136",52.57924,13.30136,"Mon, Wed-Fri: 11:00 - 22:00 Sat: 15:00 - 22:00 Sun: 13:00 - 22:00",here_maps
1898,Waffelzauber,Coffee/Tea,european,Am Borsigturm 9 Tegel 13507 Berlin,Am Borsigturm 9,13507,Tegel,"52.58365, 13.28643",52.58365,13.28643,"Mon-Thu, Sun: 12:00 - 20:00 Fri, Sat: 12:00 - 21:00",here_maps
1899,Borsig-B,Restaurant,,Am Borsigturm 1 Tegel 13507 Berlin,Am Borsigturm 1,13507,Tegel,"52.58364, 13.28737",52.58364,13.28737,"Mon, Tue: 09:00 - 22:00 Wed-Sun: 18:00 - 22:00",here_maps
1900,Burgercity Scharnweberstraße,Restaurant,fastfood,Scharnweberstraße 82 Reinickendorf 13405 Berlin,Scharnweberstraße 82,13405,Reinickendorf,"52.56775, 13.31133",52.56775,13.31133,Mon-Thu: 10:00 - 01:30 Fri: 15:00 - 02:30 Sat: 15:00 - 02:39 Sun: 10:00 - 00:00,here_maps
1901,Restaurant Aventuras,Restaurant,mediterranean,Holzhauser Straße 59 Wittenau 13509 Berlin,Holzhauser Straße 59,13509,Wittenau,"52.5807, 13.3024",52.5807,13.3024,"Mon-Thu: 11:00 - 23:00 Fri: 11:00 - 00:00, 12:00 - 23:59 Sat: 12:00 - 00:00, 12:00 - 23:59 Sun: 12:00 - 23:00",here_maps
1902,Toscana,Restaurant,italian,Scharnweberstraße Reinickendorf 13405 Berlin,Scharnweberstraße,13405,Reinickendorf,"52.56798, 13.31258",52.56798,13.31258,,here_maps
1903,Restaurant Dalmacija,Restaurant,european,AugusteViktoriaAllee 52 Reinickendorf 13403 Berlin,AugusteViktoriaAllee 52,13403,Reinickendorf,"52.57235, 13.30842",52.57235,13.30842,Mon-Sat: 12:00 - 23:00 Sun: 12:00 - 22:00,here_maps
1904,SV Reinickendorf 1896 E. V.,Restaurant,european,Finnentroper Weg 38 Tegel 13507 Berlin,Finnentroper Weg 38,13507,Tegel,"52.5715, 13.28513",52.5715,13.28513,,here_maps
1905,Atma - Indische Küche,Restaurant,asian,Räuschstraße 57A Wittenau 13509 Berlin,Räuschstraße 57A,13509,Wittenau,"52.58339, 13.30135",52.58339,13.30135,Tue-Sat: 12:00 - 22:00 Sun: 12:00 - 21:00,here_maps
1906,Café Casino im Tegel-Forum,Restaurant,,Breitenbachstraße 10 Wittenau 13509 Berlin,Breitenbachstraße 10,13509,Wittenau,"52.57914, 13.3086",52.57914,13.3086,,here_maps
1907,Makedonija Grill,Restaurant,,Ernststraße 59 Wittenau 13509 Berlin,Ernststraße 59,13509,Wittenau,"52.5837, 13.3009",52.5837,13.3009,"Mon, Tue, Thu-Sat: 12:00 - 22:00 Sun: 12:00 - 21:00",here_maps
1908,Burgerzimmer XIII,Restaurant,,Scharnweberstraße 82 Reinickendorf 13405 Berlin,Scharnweberstraße 82,13405,Reinickendorf,"52.56775, 13.31133",52.56775,13.31133,,here_maps
1909,Asado,Restaurant,american,Scharnweberstraße 67 Reinickendorf 13405 Berlin,Scharnweberstraße 67,13405,Reinickendorf,"52.56821, 13.31019",52.56821,13.31019,Mon-Sun: 11:00 - 23:59,here_maps
1910,Zadar Restaurant,Restaurant,international,Ernststraße 59 Wittenau 13509 Berlin,Ernststraße 59,13509,Wittenau,"52.5837, 13.3009",52.5837,13.3009,Mon-Sun: 12:00 - 23:00,here_maps
1911,Trattoria Monticchiello,Restaurant,italian,Berliner Straße 70 Tegel 13507 Berlin,Berliner Straße 70,13507,Tegel,"52.58276, 13.2901",52.58276,13.2901,Tue-Thu: 12:00 - 22:00 Fri-Sun: 15:00 - 22:00,here_maps
1912,Cafe Caliente,Restaurant,,Scharnweberstraße 82 Reinickendorf 13405 Berlin,Scharnweberstraße 82,13405,Reinickendorf,"52.56775, 13.31133",52.56775,13.31133,,here_maps
1913,Café Titanic,Restaurant,european,AugusteViktoriaAllee 54 Reinickendorf 13403 Berlin,AugusteViktoriaAllee 54,13403,Reinickendorf,"52.57155, 13.30894",52.57155,13.30894,,here_maps
1914,L'Acordo,Restaurant,european,Ernststraße 54 Wittenau 13509 Berlin,Ernststraße 54,13509,Wittenau,"52.58311, 13.30049",52.58311,13.30049,,here_maps
1915,Wilde Maus Berlin,Restaurant,,Ernststraße 33 Wittenau 13509 Berlin,Ernststraße 33,13509,Wittenau,"52.5831, 13.29762",52.5831,13.29762,,here_maps
1916,Polo' S,Snacks/Fast food,european,Holzhauser Straße 62 Wittenau 13509 Berlin,Holzhauser Straße 62,13509,Wittenau,"52.5809, 13.3036",52.5809,13.3036,,here_maps
1917,SUBWAY,Restaurant,fastfood,Am Borsigturm 4 Tegel 13507 Berlin,Am Borsigturm 4,13507,Tegel,"52.58412, 13.28739",52.58412,13.28739,Mon-Sat: 10:00 - 20:00 Sun: 13:00 - 20:00,here_maps
1918,Café Animor,Restaurant,italian,Am Borsigturm 2 Tegel 13507 Berlin,Am Borsigturm 2,13507,Tegel,"52.58394, 13.28675",52.58394,13.28675,"Mon-Thu: 08:30 - 21:00 Fri, Sat: 08:30 - 22:00 Sun: 09:30 - 19:00",here_maps
1919,McDonald's,Snacks/Fast food,fastfood,Am Borsigturm 2 Tegel 13507 Berlin,Am Borsigturm 2,13507,Tegel,"52.58394, 13.28675",52.58394,13.28675,"Mon-Thu: 08:00 - 23:00 Fri, Sat: 08:00 - 23:59 Sun: 10:00 - 22:00",here_maps
1920,Doner Factory,Restaurant,middle eastern,Am Borsigturm 2 Tegel 13507 Berlin,Am Borsigturm 2,13507,Tegel,"52.58394, 13.28675",52.58394,13.28675,Mon-Sat: 09:30 - 20:00,here_maps
1921,Bistro Zam Zam,Restaurant,middle eastern,Eichborndamm 116 Wittenau 13403 Berlin,Eichborndamm 116,13403,Wittenau,"52.57923, 13.31714",52.57923,13.31714,"Mon-Thu: 07:00 - 15:00 Sat, Sun: 11:30 - 21:30",here_maps
1922,Zum Krug,Restaurant,european,AugusteViktoriaAllee 67 Reinickendorf 13403 Berlin,AugusteViktoriaAllee 67,13403,Reinickendorf,"52.57098, 13.31553",52.57098,13.31553,,here_maps
1923,Asador,Restaurant,steak,Schlieperstraße 69 Tegel 13507 Berlin,Schlieperstraße 69,13507,Tegel,"52.58668, 13.2852",52.58668,13.2852,,here_maps
1924,Thai Nippon Bar,Restaurant,asian,Am Borsigturm 2 Tegel 13507 Berlin,Am Borsigturm 2,13507,Tegel,"52.58394, 13.28675",52.58394,13.28675,Mon-Sat: 10:30 - 20:00,here_maps
1925,Mexico City / la Rosa Quattro,Restaurant,,Am Borsigturm 2 Tegel 13507 Berlin,Am Borsigturm 2,13507,Tegel,"52.58394, 13.28675",52.58394,13.28675,,here_maps
1926,Holiday Land Ab-Last Minute Holiday,Restaurant,,Am Borsigturm 2 Tegel 13507 Berlin,Am Borsigturm 2,13507,Tegel,"52.58394, 13.28675",52.58394,13.28675,Mon-Sat: 10:00 - 20:00,here_maps
1927,Pizza-Express,Restaurant,italian,Schlieperstraße 13 Tegel 13507 Berlin,Schlieperstraße 13,13507,Tegel,"52.587, 13.28525",52.587,13.28525,Mon-Sun: 11:00 - 23:00,here_maps
1928,New Delhi Indian Restaurant Berlin,Restaurant,asian,Am Borsigturm 2 Tegel 13507 Berlin,Am Borsigturm 2,13507,Tegel,"52.58394, 13.28675",52.58394,13.28675,Mon-Sat: 10:00 - 22:00,here_maps
1929,Imbiss-König,Restaurant,middle eastern,Eichborndamm 22 Reinickendorf 13403 Berlin,Eichborndamm 22,13403,Reinickendorf,"52.5701, 13.31296",52.5701,13.31296,Mon-Sun: 00:00 - 24:00,here_maps
1930,Pizza Azuri,Restaurant,italian,Scharnweberstraße 60 Reinickendorf 13405 Berlin,Scharnweberstraße 60,13405,Reinickendorf,"52.56782, 13.31283",52.56782,13.31283,,here_maps
1931,I-Ke-Su,Restaurant,asian,Am Borsigturm 2 Tegel 13507 Berlin,Am Borsigturm 2,13507,Tegel,"52.58394, 13.28675",52.58394,13.28675,"Mon-Thu: 10:00 - 21:00 Fri, Sat: 10:00 - 22:00",here_maps
1932,Zum Feuchten Grafen,Bar/Pub,,GrafHaeselerStraße 23 Reinickendorf 13403 Berlin,GrafHaeselerStraße 23,13403,Reinickendorf,"52.56993, 13.31387",52.56993,13.31387,,here_maps
1933,Segafredo,Restaurant,,Am Borsigturm Tegel 13507 Berlin,Am Borsigturm,13507,Tegel,"52.585366, 13.286524",52.585366,13.286524,,here_maps
1934,Don Giuseppe,Restaurant,international,Berliner Straße 14 Tegel 13507 Berlin,Berliner Straße 14,13507,Tegel,"52.5873, 13.28566",52.5873,13.28566,Mon-Sun: 12:00 - 23:59,here_maps
1935,Zur Hütte,Restaurant,,Miraustraße 91 Wittenau 13509 Berlin,Miraustraße 91,13509,Wittenau,"52.58702, 13.30549",52.58702,13.30549,,here_maps
1936,Dicke Paula,Restaurant,,Schlieperstraße 69 Tegel 13507 Berlin,Schlieperstraße 69,13507,Tegel,"52.58668, 13.2852",52.58668,13.2852,"Mon-Thu, Sun: 09:00 - 22:00 Fri, Sat: 09:00 - 23:00",here_maps
1937,Fantasia del Gelato Tegel,Coffee/Tea,breakfast/dessert,Am Borsigturm 2 Tegel 13507 Berlin,Am Borsigturm 2,13507,Tegel,"52.584566, 13.286112",52.584566,13.286112,Mon-Sat: 09:00 - 20:00 Sun: 09:00 - 18:00,here_maps
1938,Seeteufel,Restaurant,,Am Borsigturm 2 Tegel 13507 Berlin,Am Borsigturm 2,13507,Tegel,"52.58394, 13.28675",52.58394,13.28675,Mon-Sat: 09:00 - 20:15,here_maps
1939,Delishes Pfannkuchen Cafe,Food & Drink,,Berliner Straße 15 Tegel 13507 Berlin,Berliner Straße 15,13507,Tegel,"52.58721, 13.28574",52.58721,13.28574,Mon-Sat: 10:00 - 18:00 Sun: 11:00 - 17:00,here_maps
1940,Orio Falafel,Restaurant,,Am Borsigturm Tegel 13507 Berlin,Am Borsigturm,13507,Tegel,"52.58467, 13.286006",52.58467,13.286006,,here_maps
1941,Grillkönig,Snacks/Fast food,middle eastern,Eichborndamm 37 Reinickendorf 13403 Berlin,Eichborndamm 37,13403,Reinickendorf,"52.57119, 13.31285",52.57119,13.31285,,here_maps
1942,Backe Backe Pizza,Snacks/Fast food,italian,Schlieperstraße 13 Tegel 13507 Berlin,Schlieperstraße 13,13507,Tegel,"52.587, 13.28525",52.587,13.28525,,here_maps
1943,Trattoria da Ciro,Restaurant,,Schubartstraße 47 Wittenau 13509 Berlin,Schubartstraße 47,13509,Wittenau,"52.58402, 13.30265",52.58402,13.30265,"Mon, Sat: 16:00 - 23:00 Tue-Fri: 12:00 - 23:00",here_maps
1944,Ristorante Pianoforte,Restaurant,mediterranean,Berliner Straße 15 Tegel 13507 Berlin,Berliner Straße 15,13507,Tegel,"52.58721, 13.28574",52.58721,13.28574,Mon-Sun: 12:00 - 23:00,here_maps
1945,Ziegenkaserei & Wiesencafe Karolinenhof,Restaurant,,Engelmannweg Reinickendorf 13403 Berlin,Engelmannweg,13403,Reinickendorf,"52.56933, 13.3195",52.56933,13.3195,"Fri: 11:00 - 19:00 Sat, Sun: 09:00 - 19:00",here_maps
1946,Restaurant Split,Restaurant,mediterranean,Veitstraße 4B Tegel 13507 Berlin,Veitstraße 4B,13507,Tegel,"52.58637, 13.28729",52.58637,13.28729,Tue-Sun: 12:00 - 22:00,here_maps
1947,Viet Express,Restaurant,asian,Am Borsigturm 2 Tegel 13507 Berlin,Am Borsigturm 2,13507,Tegel,"52.58394, 13.28675",52.58394,13.28675,Mon-Sat: 10:00 - 20:00,here_maps
1948,Dos Pescados,Restaurant,mediterranean,Am Borsigturm 2 Tegel 13507 Berlin,Am Borsigturm 2,13507,Tegel,"52.58394, 13.28675",52.58394,13.28675,"Mon-Thu, Sun: 10:00 - 12:00 Fri, Sat: 10:00 - 14:30",here_maps
1949,Ganges Eichborndamm 80,Restaurant,middle eastern,Eichborndamm 80 Reinickendorf 13403 Berlin,Eichborndamm 80,13403,Reinickendorf,"52.57529, 13.31486",52.57529,13.31486,Mon-Sun: 12:00 - 22:00,here_maps
1950,Ristorante Pizzeria Casamaßima,Restaurant,european,Scharnweberstraße 91 Reinickendorf 13405 Berlin,Scharnweberstraße 91,13405,Reinickendorf,"52.56705, 13.31496",52.56705,13.31496,,here_maps
1951,Asia Snack,Restaurant,asian,Am Borsigturm 2 Tegel 13507 Berlin,Am Borsigturm 2,13507,Tegel,"52.58394, 13.28675",52.58394,13.28675,Mon-Sat: 10:00 - 20:00,here_maps
1952,Ristorante Giannini,Restaurant,european,Am Borsigturm 2 Tegel 13507 Berlin,Am Borsigturm 2,13507,Tegel,"52.58394, 13.28675",52.58394,13.28675,,here_maps
1953,Grill Imbiss Stube,Restaurant,european,Eichborndamm Reinickendorf 13403 Berlin,Eichborndamm,13403,Reinickendorf,"52.57501, 13.31437",52.57501,13.31437,Mon-Fri: 08:00 - 17:00,here_maps
1954,Asiagourmet,Restaurant,asian,Berliner Straße 17 Tegel 13507 Berlin,Berliner Straße 17,13507,Tegel,"52.585871, 13.286938",52.585871,13.286938,,here_maps
1955,Rio Falafel,Snacks/Fast food,asian,Am Borsigturm 2 Tegel 13507 Berlin,Am Borsigturm 2,13507,Tegel,"52.58394, 13.28675",52.58394,13.28675,Mon-Sun: 10:00 - 20:00,here_maps
1956,Stella del Köp,Restaurant,italian,An der Wuhlheide 228 Oberschöneweide 12459 Berlin,An der Wuhlheide 228,12459,Oberschöneweide,"52.45598, 13.55104",52.45598,13.55104,Mon-Sun: 11:30 - 23:59,here_maps
1957,Amaranth,Restaurant,breakfast/dessert,Weiskopffstraße 16 Oberschöneweide 12459 Berlin,Weiskopffstraße 16,12459,Oberschöneweide,"52.45737, 13.54012",52.45737,13.54012,"Sat, Sun: 11:00 - 14:00",here_maps
1958,P&R Personal -,Restaurant,,An der Wuhlheide 195 Oberschöneweide 12459 Berlin,An der Wuhlheide 195,12459,Oberschöneweide,"52.4604, 13.54624",52.4604,13.54624,,here_maps
1959,Der Waldkater,Restaurant,,An der Wuhlheide 195 Oberschöneweide 12459 Berlin,An der Wuhlheide 195,12459,Oberschöneweide,"52.4604, 13.54624",52.4604,13.54624,,here_maps
1960,Crepes Fez,Snacks/Fast food,fastfood,Eichgestell Oberschöneweide 12459 Berlin,Eichgestell,12459,Oberschöneweide,"52.460876, 13.548617",52.460876,13.548617,Mon-Sun: 13:00 - 18:00,here_maps
1961,Finnhutten am Badesee,Restaurant,,An der Wuhlheide 161 Oberschöneweide 12459 Berlin,An der Wuhlheide 161,12459,Oberschöneweide,"52.46026, 13.54013",52.46026,13.54013,"Tue, Thu: 13:00 - 18:00 Fri: 12:00 - 19:30 Sat, Sun: 11:00 - 18:00",here_maps
1962,Alfons Im FEZ,Restaurant,international,An der Wuhlheide 2 Oberschöneweide 12459 Berlin,An der Wuhlheide 2,12459,Oberschöneweide,"52.46091, 13.5489",52.46091,13.5489,,here_maps
1963,Fritten Fritze,Restaurant,breakfast/dessert,An der Wuhlheide 197 Oberschöneweide 12459 Berlin,An der Wuhlheide 197,12459,Oberschöneweide,"52.46095, 13.54887",52.46095,13.54887,Tue-Sun: 11:00 - 17:00,here_maps
1964,Café an der Spree,Restaurant,,BrunoBürgelWeg 9 Niederschöneweide 12439 Berlin,BrunoBürgelWeg 9,12439,Niederschöneweide,"52.45249, 13.53402",52.45249,13.53402,,here_maps
1965,Steakhaus Mediterran,Restaurant,steak,BrunoBürgelWeg 50 Niederschöneweide 12439 Berlin,BrunoBürgelWeg 50,12439,Niederschöneweide,"52.45311, 13.53859",52.45311,13.53859,,here_maps
1966,Anna Kim,Restaurant,asian,An der Wuhlheide 150 Oberschöneweide 12459 Berlin,An der Wuhlheide 150,12459,Oberschöneweide,"52.46002, 13.53597",52.46002,13.53597,,here_maps
1967,Lekker.Berlin,Food & Drink,vegetarian or vegan,Erikastraße 35 Niederschöneweide 12439 Berlin,Erikastraße 35,12439,Niederschöneweide,"52.44988, 13.53556",52.44988,13.53556,,here_maps
1968,Miss Sophie's Planet,Restaurant,,Marienstraße 1A Oberschöneweide 12459 Berlin,Marienstraße 1A,12459,Oberschöneweide,"52.45987, 13.52449",52.45987,13.52449,Fri: 19:00 - 22:00,here_maps
1969,Call A Pizza,Restaurant,italian,Schnellerstraße 86 Niederschöneweide 12439 Berlin,Schnellerstraße 86,12439,Niederschöneweide,"52.45228, 13.53135",52.45228,13.53135,Mon-Sun: 11:00 - 23:00,here_maps
1970,Burgerme,Snacks/Fast food,fastfood,Wilhelminenhofstraße 48 Oberschöneweide 12459 Berlin,Wilhelminenhofstraße 48,12459,Oberschöneweide,"52.45955, 13.52443",52.45955,13.52443,"Mon-Fri: 11:00 - 22:30 Sat, Sun: 12:00 - 22:30",here_maps
1971,Glashaus,Restaurant,european,Lindenstraße 29 Köpenick 12555 Berlin,Lindenstraße 29,12555,Köpenick,"52.45319, 13.56875",52.45319,13.56875,,here_maps
1972,Sportcasino abc 08,Restaurant,,Lohnauer Steig Adlershof 12489 Berlin,Lohnauer Steig,12489,Adlershof,"52.44323, 13.55302",52.44323,13.55302,,here_maps
1973,Blattlaus Adlershof,Restaurant,european,Neltestraße 19D Adlershof 12489 Berlin,Neltestraße 19D,12489,Adlershof,"52.44139, 13.5372",52.44139,13.5372,Mon-Sat: 16:00 - 22:00 Sun: 10:00 - 22:00,here_maps
1974,Alte Forno Sonnenallee,Restaurant,italian,Sonnenallee Adlershof 12489 Berlin,Sonnenallee,12489,Adlershof,"52.44283, 13.53544",52.44283,13.53544,,here_maps
1975,Yezda's Diner,Restaurant,middle eastern,Lindenstraße 15 Köpenick 12555 Berlin,Lindenstraße 15,12555,Köpenick,"52.45421, 13.56839",52.45421,13.56839,Mon-Sat: 11:00 - 21:00,here_maps
1976,Masala,Restaurant,asian,Rathenaustraße 26 Oberschöneweide 12459 Berlin,Rathenaustraße 26,12459,Oberschöneweide,"52.45993, 13.52966",52.45993,13.52966,Mon-Sun: 12:00 - 23:00,here_maps
1977,Artemis,Restaurant,mediterranean,Schnellerstraße 97 Niederschöneweide 12439 Berlin,Schnellerstraße 97,12439,Niederschöneweide,"52.45312, 13.52453",52.45312,13.52453,Tue-Sun: 12:00 - 23:59,here_maps
1978,Cuccis,Restaurant,,Adlergestell Niederschöneweide 12439 Berlin,Adlergestell,12439,Niederschöneweide,"52.44413, 13.53079",52.44413,13.53079,,here_maps
1979,Manifattura del Gusto,Restaurant,mediterranean,Rathenaustraße 23 Oberschöneweide 12459 Berlin,Rathenaustraße 23,12459,Oberschöneweide,"52.45998, 13.52914",52.45998,13.52914,Tue-Sun: 12:00 - 22:00,here_maps
1980,Kranhaus Cafe,Restaurant,european,PaulTroppStraße 11 Oberschöneweide 12459 Berlin,PaulTroppStraße 11,12459,Oberschöneweide,"52.45426, 13.52878",52.45426,13.52878,Mon: 00:00 - 00:00 Tue-Sun: 10:00 - 20:00,here_maps
1981,Villino Trattoria,Restaurant,european,ErnstGrubeStraße 1A Köpenick 12555 Berlin,ErnstGrubeStraße 1A,12555,Köpenick,"52.44628, 13.56228",52.44628,13.56228,,here_maps
