Coordinates,Name,Type,Address,Cuisine_1,Cuisine_2,Opening Hours,Street,Bezirk,PLZ
"[52.42333, 13.43631]",Trattoria di Benni,Restaurant,AltBuckow 3 Buckow 12349 Berlin,Pizza,Italian,Mon-Sun: 11:00 - 23:59,AltBuckow 3,Buckow,12349.0
"[52.42294, 13.43701]",Prototype Burger Berlin - What‘S Your Type ?,Snacks/Fast food,Buckower Damm 232 Buckow 12349 Berlin,Burgers,,,Buckower Damm 232,Buckow,12349.0
"[52.42247, 13.43738]",Stolpertreppe,Bar/Pub,Buckower Damm 240 Buckow 12349 Berlin,,,,Buckower Damm 240,Buckow,12349.0
"[52.42468, 13.43593]",Cafe Melanie,Restaurant,Buckower Damm 213 Buckow 12349 Berlin,,,,Buckower Damm 213,Buckow,12349.0
"[52.42318, 13.4373]",Chill Out Cafe,Restaurant,Buckower Damm 229 Buckow 12349 Berlin,,,,Buckower Damm 229,Buckow,12349.0
"[52.42651, 13.43543]",Hallenspielplatz Dobbertin,Business/Industry,Buckower Damm 191 Buckow 12349 Berlin,,,,Buckower Damm 191,Buckow,12349.0
"[52.42673, 13.43741]",Le Pique-Nique,Restaurant,Maurerweg 95 Buckow 12351 Berlin,,,Wed: 08:00 - 14:00 Thu: 10:00 - 18:00 Fri: 11:00 - 18:30 Sat: 09:00 - 15:30,Maurerweg 95,Buckow,12351.0
"[52.42351, 13.43565]",Hakika,Restaurant,AltBuckow 4 Buckow 12349 Berlin,Middle Eastern,,,AltBuckow 4,Buckow,12349.0
"[52.43579, 13.43464]",Ilker,Snacks/Fast food,Buckower Damm 86 Britz 12349 Berlin,Middle Eastern,Burgers,,Buckower Damm 86,Britz,12349.0
"[52.43414, 13.43411]",Maras Eis Fruhstuckshaus,Restaurant,Buckower Damm 106 Britz 12349 Berlin,Turkish,,"Mon-Sun: 09:00 - 00:00, 09:00 - 00:00, 09:00 - 00:00",Buckower Damm 106,Britz,12349.0
"[52.42037, 13.42456]",Honigtopf Restaurant & Cafe,Restaurant,Marienfelder Chaussee 12 Buckow 12349 Berlin,International,Polish,"Mon-Thu, Sun: 12:00 - 21:00 Fri, Sat: 12:00 - 22:00",Marienfelder Chaussee 12,Buckow,12349.0
"[52.42081, 13.42889]",Mr. Pizza,Restaurant,AltBuckow 51 Buckow 12349 Berlin,Pizza,Italian,,AltBuckow 51,Buckow,12349.0
"[52.42037, 13.42456]",Tings Lon-Men,Restaurant,Marienfelder Chaussee 12 Buckow 12349 Berlin,Asian,Pizza,"Mon, Wed-Sun: 12:00 - 21:45",Marienfelder Chaussee 12,Buckow,12349.0
"[52.43579, 13.43464]",Yummy Döner,Restaurant,Buckower Damm 86 Britz 12349 Berlin,Turkish,,,Buckower Damm 86,Britz,12349.0
"[52.42037, 13.42456]",Pizza Lon Men II Berlin,Restaurant,Marienfelder Chaussee 12 Buckow 12349 Berlin,Pizza,,,Marienfelder Chaussee 12,Buckow,12349.0
"[52.48892, 13.2612]",Restaurant Scheune,Restaurant,Eichkampstraße 155 Westend 14055 Berlin,German,European,"Mon-Sun: 11:00 - 00:00, 11:00 - 23:55",Eichkampstraße 155,Westend,14055.0
"[52.48892, 13.2612]",Spanferkel Lieferservice,Eat & Drink,Eichkampstraße 155 Westend 14055 Berlin,German,,,Eichkampstraße 155,Westend,14055.0
"[52.48952, 13.26009]",Waldmeister,Restaurant,Eichkampstraße 156 Grunewald 14055 Berlin,German,Soup,Thu-Sun: 11:00 - 19:00,Eichkampstraße 156,Grunewald,14055.0
"[52.48937, 13.26158]",Sarajevo Inn Grunewald,Restaurant,Eichkampstraße 153 Westend 14055 Berlin,German,Balkan,Mon-Sun: 12:00 - 23:00,Eichkampstraße 153,Westend,14055.0
"[52.488, 13.26346]",Restaurant Floh,Restaurant,Am Bahnhof Grunewald 4 Grunewald 14193 Berlin,German,,Mon-Sun: 12:00 - 23:00,Am Bahnhof Grunewald 4,Grunewald,14193.0
"[52.4825, 13.26691]",Shor,Restaurant,Menzelstraße 1 Grunewald 14193 Berlin,Steak,,Tue-Sun: 11:30 - 23:00,Menzelstraße 1,Grunewald,14193.0
"[52.48368, 13.2668]",Capriccio,Restaurant,Hagenplatz 2 Grunewald 14193 Berlin,Pizza,Italian,Mon-Sun: 12:00 - 12:00,Hagenplatz 2,Grunewald,14193.0
"[52.48793, 13.26292]",Casetta Croccante,Restaurant,Am Bahnhof Grunewald Grunewald 14193 Berlin,Pizza,Italian,,Am Bahnhof Grunewald,Grunewald,14193.0
"[52.54741, 13.31058]",BURGER KING,Restaurant,Saatwinkler Damm 61 CharlottenburgNord 13627 Berlin,,,"Mon-Fri: 09:00 - 23:00 Sat, Sun: 10:00 - 23:00",Saatwinkler Damm 61,CharlottenburgNord,13627.0
"[52.55186, 13.30303]",La Caravelle,Restaurant,KurtSchumacherDamm 202 Tegel 13405 Berlin,Argentinean,American,Mon-Sun: 11:00 - 12:00,KurtSchumacherDamm 202,Tegel,13405.0
"[52.54769, 13.30526]",Diner 71,Restaurant,Saatwinkler Damm 71 CharlottenburgNord 13627 Berlin,,,Mon-Thu: 07:30 - 16:00 Fri: 07:30 - 15:00,Saatwinkler Damm 71,CharlottenburgNord,13627.0
"[52.554205, 13.291914]",Red Baron Berlin,Restaurant,Tegel 13405 Berlin,German,Grill,"Mon-Fri, Sun: 07:00 - 21:00 Sat: 08:00 - 19:00",,,
"[52.55539, 13.29617]",Marche Bistro - Airport Berlin Tegel,Restaurant,Tegel 13405 Berlin,Sandwiches,French,Mon-Sun: 04:00 - 22:00,,,
"[52.54594, 13.31884]",Baha - Doner,Snacks/Fast food,Saatwinkler Damm CharlottenburgNord 13627 Berlin,Middle Eastern,Hot Dogs,Mon-Fri: 08:00 - 16:00,Saatwinkler Damm,CharlottenburgNord,13627.0
"[52.54608, 13.31576]",Bistro Michalski,Restaurant,Riedemannweg 61 CharlottenburgNord 13627 Berlin,Steak,,Mon-Fri: 08:00 - 15:00,Riedemannweg 61,CharlottenburgNord,13627.0
"[52.53514, 13.29959]",Balkh Restaurant,Restaurant,Reichweindamm CharlottenburgNord 13627 Berlin,Middle Eastern,,,Reichweindamm,CharlottenburgNord,13627.0
"[52.554063, 13.292666]",Tegel Terrace,Restaurant,Flughafen Tegel Tegel 13405 Berlin,German,,Mon-Sun: 11:30 - 20:00,Flughafen Tegel,Tegel,13405.0
"[52.54593, 13.31548]",Adria Grill,Restaurant,Riedemannweg 12 CharlottenburgNord 13627 Berlin,International,Grill,"Mon-Fri, Sun: 11:30 - 23:00",Riedemannweg 12,CharlottenburgNord,13627.0
"[52.53101, 13.30106]",Curry König,Restaurant,MaxDohrnStraße 5A CharlottenburgNord 10589 Berlin,German,Hot Dogs,,MaxDohrnStraße 5A,CharlottenburgNord,10589.0
"[52.54063, 13.28191]",Kulturbiergarten Jungfernheide,Restaurant,Heckerdamm 273 CharlottenburgNord 13627 Berlin,German,,Mon-Sat: 12:00 - 22:00 Sun: 11:00 - 22:00,Heckerdamm 273,CharlottenburgNord,13627.0
"[52.59354, 13.40264]",Restaurant Centenario,Restaurant,Dietzgenstraße 119 Rosenthal 13158 Berlin,Mexican,,"Mon-Thu, Sun: 12:00 - 00:00, 12:00 - 00:00, 12:00 - 12:00 Fri, Sat: 12:00 - 02:00, 12:00 - 02:00, 12:00 - 14:00",Dietzgenstraße 119,Rosenthal,13158.0
"[52.60684, 13.41991]",Family Café,Restaurant,Hugenottenplatz 2 Französisch Buchholz 13127 Berlin,,,Tue-Sun: 13:00 - 18:00,Hugenottenplatz 2 Französisch,Buchholz,13127.0
"[52.61925, 13.39355]",Cafe Steckenpferd,Coffee/Tea,Hauptstraße 35 Blankenfelde 13159 Berlin,,,"Wed-Fri: 12:00 - 18:00 Sat, Sun: 10:00 - 18:00",Hauptstraße 35,Blankenfelde,13159.0
"[52.60628, 13.41949]",Freia's Imbiss,Restaurant,Rosenthaler Weg 21A Französisch Buchholz 13127 Berlin,,,,Rosenthaler Weg 21A Französisch,Buchholz,13127.0
"[52.45671, 13.40021]",Hunga Fabrik,Restaurant,Schätzelbergstraße Tempelhof 12099 Berlin,Mediterranean,,Mon-Fri: 07:00 - 15:00 Sat: 09:00 - 20:00 Sun: 10:00 - 15:00,Schätzelbergstraße,Tempelhof,12099.0
"[52.45454, 13.3953]",Funkwerk.Kantine Powered by Dbcatering,Restaurant,Colditzstraße Tempelhof 12099 Berlin,,,Mon-Fri: 07:30 - 14:00,Colditzstraße,Tempelhof,12099.0
"[52.45758, 13.39384]",Studio Balance One Stefan Drechsler,Educational Facility,Colditzstraße 23 Tempelhof 12099 Berlin,,,,Colditzstraße 23,Tempelhof,12099.0
"[52.455905, 13.401074]",Grünes Wasser Pizzeria & Grill,Restaurant,Industriestraße 3 Tempelhof 12099 Berlin,Pizza,,,Industriestraße 3,Tempelhof,12099.0
"[52.45488, 13.39516]",DB Catering,Business/Industry,Colditzstraße 36 Tempelhof 12099 Berlin,Breakfast,,Mon-Fri: 07:30 - 14:00,Colditzstraße 36,Tempelhof,12099.0
"[52.4554, 13.39483]",Daily You,Restaurant,Colditzstraße 34 Tempelhof 12099 Berlin,Brunch,German,,Colditzstraße 34,Tempelhof,12099.0
"[52.45961, 13.38482]",Lebuffet,Restaurant,Tempelhofer Damm 191 Tempelhof 12099 Berlin,International,,Mon-Sat: 10:00 - 19:00,Tempelhofer Damm 191,Tempelhof,12099.0
"[52.45724, 13.38374]",Amma,Restaurant,Tempelhofer Damm 214 Tempelhof 12099 Berlin,,,"Mon-Thu: 11:30 - 00:00, 11:30 - 23:59 Fri: 11:30 - 01:00, 11:30 - 23:59 Sat: 12:00 - 01:00, 12:00 - 23:59 Sun: 12:00 - 00:00, 12:00 - 23:59",Tempelhofer Damm 214,Tempelhof,12099.0
"[52.45784, 13.3839]",Dosa and More,Restaurant,Tempelhofer Damm 206 Tempelhof 12099 Berlin,Asian,Vegetarian,Tue-Sat: 12:00 - 21:00 Sun: 15:00 - 21:00,Tempelhofer Damm 206,Tempelhof,12099.0
"[52.4597, 13.38241]",Cafe Klangwerk,Shop,KaiserinAugustaStraße 12 Tempelhof 12103 Berlin,International,Soup,"Mon, Tue, Thu, Fri: 09:00 - 20:00 Wed: 09:00 - 19:00 Sat: 10:00 - 20:00 Sun: 11:00 - 20:00",KaiserinAugustaStraße 12,Tempelhof,12103.0
"[52.45683, 13.38367]",Aaina Tempelhof,Restaurant,Tempelhofer Damm 216 Tempelhof 12099 Berlin,Asian,Italian,Mon-Sat: 11:30 - 23:59 Sun: 11:30 - 01:00,Tempelhofer Damm 216,Tempelhof,12099.0
"[52.45784, 13.3839]",Domino's Pizza,Restaurant,Tempelhofer Damm 206 Tempelhof 12099 Berlin,Mediterranean,Pizza,Mon-Sun: 11:00 - 23:00,Tempelhofer Damm 206,Tempelhof,12099.0
"[52.46136, 13.40469]",Glave Inh. André Wartaniantz Walter Sanitärinstallation,Restaurant,Rohdestraße 18 Tempelhof 12099 Berlin,,,,Rohdestraße 18,Tempelhof,12099.0
"[52.46091, 13.39441]",Albrechtshöhe,Restaurant,Felixstraße 59 Tempelhof 12099 Berlin,German,,Mon-Sun: 08:30 - 00:00,Felixstraße 59,Tempelhof,12099.0
"[52.45798, 13.38478]",Kaffeeschwestern,Restaurant,FriedrichWilhelmStraße 83 Tempelhof 12099 Berlin,,,Mon-Sat: 09:00 - 19:30 Sun: 09:00 - 18:00,FriedrichWilhelmStraße 83,Tempelhof,12099.0
"[52.45994, 13.38442]",Curry Tempel,Snacks/Fast food,Tempelhofer Damm 188 Tempelhof 12099 Berlin,German,Burgers,Mon-Sat: 11:00 - 21:00,Tempelhofer Damm 188,Tempelhof,12099.0
"[52.45467, 13.38455]",Maximilian Imbiss,Snacks/Fast food,Tempelhofer Damm 227 Tempelhof 12099 Berlin,German,Hot Dogs,Mon-Sat: 08:30 - 22:00,Tempelhofer Damm 227,Tempelhof,12099.0
"[52.45467, 13.38455]",SUBWAY,Restaurant,Tempelhofer Damm 227 Tempelhof 12099 Berlin,Sandwiches,,"Mon, Sat: 10:00 - 20:00 Tue-Fri: 09:00 - 20:00",Tempelhofer Damm 227,Tempelhof,12099.0
"[52.4561, 13.38426]",Hou Wang,Restaurant,Tempelhofer Damm 219 Tempelhof 12099 Berlin,Chinese - Cantonese,Asian,Mon-Sun: 12:00 - 23:00,Tempelhofer Damm 219,Tempelhof,12099.0
"[52.45792, 13.38542]",Preussen-Quelle,Bar/Pub,FriedrichWilhelmStraße 85 Tempelhof 12099 Berlin,German,,Mon-Sat: 09:00 - 23:59 Sun: 09:00 - 22:00,FriedrichWilhelmStraße 85,Tempelhof,12099.0
"[52.45034, 13.38464]",Siafood,Restaurant,Mariendorfer Damm 30 Mariendorf 12109 Berlin,Breakfast,,,Mariendorfer Damm 30,Mariendorf,12109.0
"[52.4562, 13.38362]",Libanon Snack,Restaurant,Tempelhofer Damm 222 Tempelhof 12099 Berlin,Lebanese,Hot Dogs,Mon-Sun: 09:00 - 22:00,Tempelhofer Damm 222,Tempelhof,12099.0
"[52.45767, 13.38439]",Long,Restaurant,Tempelhofer Damm 205 Tempelhof 12099 Berlin,Asian,Japanese - Sushi,Mon-Sat: 11:30 - 23:00 Sun: 12:00 - 23:00,Tempelhofer Damm 205,Tempelhof,12099.0
"[52.45662, 13.38361]",Taverna Ta Dio Aderfia,Restaurant,Tempelhofer Damm 218 Tempelhof 12099 Berlin,,,"Mon-Fri: 12:00 - 23:59 Sat, Sun: 12:00 - 13:00",Tempelhofer Damm 218,Tempelhof,12099.0
"[52.45702, 13.38673]",Ristorante Casa Nuova,Restaurant,Wenckebachstraße 15 Tempelhof 12099 Berlin,Pizza,Grill,Tue-Sun: 11:30 - 23:00,Wenckebachstraße 15,Tempelhof,12099.0
"[52.44578, 13.39056]",Urban's Kaffeestube,Restaurant,Westphalweg 24 Mariendorf 12109 Berlin,,,,Westphalweg 24,Mariendorf,12109.0
"[52.45923, 13.38391]",Pausini,Coffee/Tea,KaiserinAugustaStraße 78 Tempelhof 12103 Berlin,German,,Mon-Fri: 08:00 - 19:00 Sat: 10:00 - 18:00 Sun: 11:00 - 18:00,KaiserinAugustaStraße 78,Tempelhof,12103.0
"[52.462201, 13.391903]",Mix,Restaurant,Tempelhof 12099 Berlin,Ice cream,,,,,
"[52.45702, 13.38673]",Sempre,Restaurant,Wenckebachstraße 15 Tempelhof 12099 Berlin,Pizza,Italian,Tue-Thu: 10:00 - 19:00 Fri: 10:30 - 19:00 Sat: 10:00 - 17:00,Wenckebachstraße 15,Tempelhof,12099.0
"[52.454726, 13.384517]",Maximilian Hafenimbiss,Snacks/Fast food,Tempelhofer Damm 227 Tempelhof 12099 Berlin,American,Barbecue,"Mon-Thu: 10:00 - 13:00 Fri, Sat: 10:00 - 14:00 Sun: 12:00 - 22:00",Tempelhofer Damm 227,Tempelhof,12099.0
"[52.44702, 13.40178]",Michelangelo,Restaurant,Rixdorfer Straße 86 Mariendorf 12109 Berlin,Pizza,Italian,Mon-Sun: 12:00 - 23:59,Rixdorfer Straße 86,Mariendorf,12109.0
"[52.45994, 13.38442]",Pizza Pazza,Restaurant,Tempelhofer Damm 188 Tempelhof 12099 Berlin,Pizza,,,Tempelhofer Damm 188,Tempelhof,12099.0
"[52.45724, 13.38374]",Ristorante Pizzeria Santa Maria,Restaurant,Tempelhofer Damm 214 Tempelhof 12099 Berlin,Italian,,,Tempelhofer Damm 214,Tempelhof,12099.0
"[52.44651, 13.40215]",Restaurant Split,Restaurant,Rixdorfer Straße 89 Mariendorf 12109 Berlin,American,International,Mon-Sun: 11:30 - 23:00,Rixdorfer Straße 89,Mariendorf,12109.0
"[52.44739, 13.39689]",Karma Restaurant Berlin,Restaurant,Eisenacher Straße 57 Mariendorf 12109 Berlin,Asian,Indian,Mon: 11:00 - 23:00 Tue-Sun: 11:00 - 22:00,Eisenacher Straße 57,Mariendorf,12109.0
"[52.455682, 13.385723]",Gelato Artista,Restaurant,Ordensmeisterstraße Tempelhof 12099 Berlin,,,,Ordensmeisterstraße,Tempelhof,12099.0
"[52.45818, 13.38257]",NORMA,Food & Drink,FriedrichWilhelmStraße 78 Tempelhof 12103 Berlin,,,Mon-Sat: 08:00 - 21:00,FriedrichWilhelmStraße 78,Tempelhof,12103.0
"[52.45467, 13.38455]",Asia Food,Restaurant,Tempelhofer Damm 227 Tempelhof 12099 Berlin,Asian,,Mon: 10:00 - 00:00 Tue-Fri: 00:00 - 00:00 Sat: 00:00 - 20:00,Tempelhofer Damm 227,Tempelhof,12099.0
"[52.458, 13.38394]",Döneria,Restaurant,Tempelhofer Damm 204 Tempelhof 12099 Berlin,Middle Eastern,,,Tempelhofer Damm 204,Tempelhof,12099.0
"[52.45909, 13.38472]",Lase Lounge,Going Out,Tempelhofer Damm 193 Tempelhof 12099 Berlin,,,,Tempelhofer Damm 193,Tempelhof,12099.0
"[52.45841, 13.38457]",Gourmet Meyman,Restaurant,Tempelhofer Damm 201 Tempelhof 12099 Berlin,Brunch,Breakfast,Mon-Sun: 08:00 - 22:00,Tempelhofer Damm 201,Tempelhof,12099.0
"[52.455099, 13.38505]",Marti Fischrestaurant,Restaurant,Tempelhofer Damm 227 Tempelhof 12099 Berlin,Sandwiches,Barbecue,"Mon-Thu: 12:00 - 23:00 Fri, Sat: 12:00 - 23:59 Sun: 12:00 - 22:00",Tempelhofer Damm 227,Tempelhof,12099.0
"[52.44766, 13.38906]",La Piccola Cantina,Restaurant,Eisenacher Straße 8 Mariendorf 12109 Berlin,Mediterranean,Pizza,Tue-Sun: 12:00 - 22:00,Eisenacher Straße 8,Mariendorf,12109.0
"[52.454944, 13.384762]",The Burger Bar,Snacks/Fast food,Tempelhofer Damm 227 Tempelhof 12099 Berlin,Steak,American,Mon-Wed: 10:00 - 22:00 Thu-Sat: 10:00 - 23:00 Sun: 14:00 - 21:00,Tempelhofer Damm 227,Tempelhof,12099.0
"[52.44738, 13.39274]",Sempre,Restaurant,Eisenacher Straße 19 Mariendorf 12109 Berlin,Pizza,European,Mon-Sun: 11:00 - 23:00,Eisenacher Straße 19,Mariendorf,12109.0
"[52.44766, 13.38906]",Cafe am Berg,Restaurant,Eisenacher Straße 8 Mariendorf 12109 Berlin,German,,,Eisenacher Straße 8,Mariendorf,12109.0
"[52.45467, 13.38455]",Kinh Bac,Restaurant,Tempelhofer Damm 227 Tempelhof 12099 Berlin,Asian,,Mon-Wed: 08:00 - 20:00 Thu-Sat: 08:00 - 22:00,Tempelhofer Damm 227,Tempelhof,12099.0
"[52.45486, 13.38379]",Bistro Taka,Snacks/Fast food,Tempelhofer Damm 232 Tempelhof 12099 Berlin,Middle Eastern,Hot Dogs,,Tempelhofer Damm 232,Tempelhof,12099.0
"[52.45467, 13.38455]",Pier 13,"Theatre, Music & Culture",Tempelhofer Damm 227 Tempelhof 12099 Berlin,,,"Tue-Fri: 14:00 - 23:00 Sat: 14:00 - 00:00, 15:30 - 00:00 Sun: 14:00 - 23:59",Tempelhofer Damm 227,Tempelhof,12099.0
"[52.45602, 13.38362]",Diamond Tempelhof,Going Out,Tempelhofer Damm 224 Tempelhof 12099 Berlin,Pizza,German,"Mon-Thu, Sun: 11:30 - 02:30 Fri, Sat: 11:30 - 04:00",Tempelhofer Damm 224,Tempelhof,12099.0
"[52.45662, 13.38361]",Taste Hellas,Snacks/Fast food,Tempelhofer Damm 218 Tempelhof 12099 Berlin,Mediterranean,Greek,Mon-Fri: 09:00 - 20:00 Sat: 09:00 - 18:00,Tempelhofer Damm 218,Tempelhof,12099.0
"[52.44798, 13.3891]",Caffe Vero,Restaurant,Eisenacher Straße 65 Mariendorf 12109 Berlin,Italian,,,Eisenacher Straße 65,Mariendorf,12109.0
"[52.4597, 13.38241]",Weltmusik-Rahmati,Shop,KaiserinAugustaStraße 12 Tempelhof 12103 Berlin,,,Mon-Fri: 12:30 - 18:00 Sat: 15:00 - 18:00,KaiserinAugustaStraße 12,Tempelhof,12103.0
"[52.45909, 13.38472]",Ege Gemusekebab,Restaurant,Tempelhofer Damm 193 Tempelhof 12099 Berlin,Middle Eastern,Grill,,Tempelhofer Damm 193,Tempelhof,12099.0
"[52.45859, 13.37827]",Bruno,Restaurant,FriedrichWilhelmStraße 67 Tempelhof 12103 Berlin,Pizza,International,Mon-Sun: 18:00 - 23:59,FriedrichWilhelmStraße 67,Tempelhof,12103.0
"[52.4594, 13.38197]",Tonsai,Restaurant,KaiserinAugustaStraße 73 Tempelhof 12103 Berlin,Asian,Thai,Mon-Sun: 12:00 - 22:00,KaiserinAugustaStraße 73,Tempelhof,12103.0
"[52.45517, 13.41889]",Cookoon,Restaurant,Saalburgstraße 4 Britz 12099 Berlin,Brunch,German,Mon-Fri: 06:30 - 14:30,Saalburgstraße 4,Britz,12099.0
"[52.4653, 13.38588]",Hamdibaba Alt-Tempelhof,Snacks/Fast food,Tempelhofer Damm 147 Tempelhof 12099 Berlin,Turkish,Middle Eastern,Mon-Sun: 10:00 - 01:00,Tempelhofer Damm 147,Tempelhof,12099.0
"[52.46025, 13.41794]",Bistro Bar,Restaurant,GottliebDunkelStraße 59 Tempelhof 12099 Berlin,,,,GottliebDunkelStraße 59,Tempelhof,12099.0
"[52.46249, 13.41634]",Trattoria Geppetto,Eat & Drink,Bacharacher Straße 31 Tempelhof 12099 Berlin,Pizza,Italian,"Mon-Thu, Sun: 17:00 - 22:30 Fri, Sat: 17:00 - 23:30",Bacharacher Straße 31,Tempelhof,12099.0
"[52.465947, 13.385266]",Balli Döner,Restaurant,B96 146 Tempelhof 12099 Berlin,Turkish,Middle Eastern,Mon-Sun: 08:00 - 23:00,B96 146,Tempelhof,12099.0
"[52.46639, 13.386]",Balli Burger,Snacks/Fast food,Tempelhofer Damm 143 Tempelhof 12099 Berlin,Burgers,Chinese,Mon-Sun: 08:00 - 23:00,Tempelhofer Damm 143,Tempelhof,12099.0
"[52.45816, 13.37636]",Romeo's Insel,Restaurant,Manteuffelstraße 42 Tempelhof 12103 Berlin,,,,Manteuffelstraße 42,Tempelhof,12103.0
"[52.46383, 13.38526]",Imbiss am Park,Snacks/Fast food,Tempelhofer Damm 160 Tempelhof 12099 Berlin,German,Hot Dogs,,Tempelhofer Damm 160,Tempelhof,12099.0
"[52.46286, 13.3793]",Namaste Italia,Restaurant,Bosestraße 6 Tempelhof 12103 Berlin,Asian,Indian,Tue-Sun: 11:30 - 22:00,Bosestraße 6,Tempelhof,12103.0
"[52.46502, 13.38316]",La Sambo,Restaurant,Reinhardtstraße 9 Tempelhof 12103 Berlin,,,,Reinhardtstraße 9,Tempelhof,12103.0
"[52.46419, 13.40037]",Pizza Stern Berlin,Food & Drink,Germaniastraße 134 Tempelhof 12099 Berlin,Pizza,,Mon-Sun: 11:00 - 21:30,Germaniastraße 134,Tempelhof,12099.0
"[52.42268, 13.53979]",Tower of Siam,Sport Facility/Venue,Köpenicker Straße 11 Altglienicke 12524 Berlin,Asian,Thai,"Mon: 12:00 - 22:00 Tue-Thu: 12:00 - 23:00 Fri: 12:00 - 23:59 Sat, Sun: 10:00 - 21:00",Köpenicker Straße 11,Altglienicke,12524.0
"[52.4214, 13.53909]",Gaststatte Ebel,Restaurant,Semmelweisstraße 1 Altglienicke 12524 Berlin,German,European,"Mon-Fri, Sun: 10:00 - 22:00 Sat: 10:00 - 23:30",Semmelweisstraße 1,Altglienicke,12524.0
"[52.4207, 13.53909]",Akis Grillhaus,Restaurant,Köpenicker Straße 39 Altglienicke 12524 Berlin,Middle Eastern,,,Köpenicker Straße 39,Altglienicke,12524.0
"[52.42233, 13.53776]",Atthymayaa,Restaurant,Semmelweisstraße 14 Altglienicke 12524 Berlin,,,"Mon-Thu, Sat, Sun: 11:00 - 21:00 Fri: 11:00 - 22:00",Semmelweisstraße 14,Altglienicke,12524.0
"[52.41923, 13.54414]",Restaurant Croatia,Restaurant,Grünauer Straße 55 Altglienicke 12524 Berlin,German,Balkan,Mon-Sun: 12:00 - 23:00,Grünauer Straße 55,Altglienicke,12524.0
"[52.41922, 13.53816]",China Haus,Restaurant,Köpenicker Straße 33 Altglienicke 12524 Berlin,,,Mon-Sun: 12:00 - 23:00,Köpenicker Straße 33,Altglienicke,12524.0
"[52.41923, 13.54414]",Kroatisches Restaurant,Restaurant,Grünauer Straße Altglienicke 12524 Berlin,American,Barbecue,,Grünauer Straße,Altglienicke,12524.0
"[52.42007, 13.5387]",Rangla Punjab,Restaurant,Köpenicker Straße 36 Altglienicke 12524 Berlin,Asian,Indian,Mon-Sun: 11:30 - 22:00,Köpenicker Straße 36,Altglienicke,12524.0
"[52.4211, 13.53901]",Schulz,Restaurant,Köpenicker Straße 16 Altglienicke 12524 Berlin,,,,Köpenicker Straße 16,Altglienicke,12524.0
"[52.41894, 13.54599]",Geco Tapas Bar,Restaurant,Grünauer Straße 46 Altglienicke 12524 Berlin,Spanish,Tapas,Wed-Sat: 17:00 - 12:00 Sun: 17:00 - 23:59,Grünauer Straße 46,Altglienicke,12524.0
"[52.43755, 13.55496]",Rosticceria San Leone,Restaurant,Wassermannstraße 97 Adlershof 12489 Berlin,Pizza,Italian,,Wassermannstraße 97,Adlershof,12489.0
"[52.43755, 13.55496]",Gelateria Giulia,Food & Drink,Wassermannstraße 97 Adlershof 12489 Berlin,,,Mon-Sun: 10:00 - 21:00,Wassermannstraße 97,Adlershof,12489.0
"[52.41377, 13.54849]",Haushaltsauflösungen,Restaurant,Friesenstraße 7 Altglienicke 12524 Berlin,,,,Friesenstraße 7,Altglienicke,12524.0
"[52.41428, 13.53773]",Family Inn,Restaurant,Ortolfstraße 35 Altglienicke 12524 Berlin,Italian,,,Ortolfstraße 35,Altglienicke,12524.0
"[52.41458, 13.53164]",Il Porto,Restaurant,Wegedornstraße Altglienicke 12524 Berlin,Italian,,,Wegedornstraße,Altglienicke,12524.0
"[52.41735, 13.5297]",Delphi,Restaurant,Rapunzelstraße 49 Altglienicke 12524 Berlin,International,German,"Tue-Fri: 16:00 - 23:59 Sat, Sun: 12:00 - 23:59",Rapunzelstraße 49,Altglienicke,12524.0
"[52.41735, 13.5297]",Da Gatto Nero,Restaurant,Rapunzelstraße 49 Altglienicke 12524 Berlin,Italian,,,Rapunzelstraße 49,Altglienicke,12524.0
"[52.43602, 13.55507]",Herrmanns Eck,Restaurant,Büchnerweg 30 Adlershof 12489 Berlin,International,German,Wed-Fri: 16:00 - 23:59 Sat: 12:00 - 23:59 Sun: 12:00 - 22:00,Büchnerweg 30,Adlershof,12489.0
"[52.54127, 13.20019]",Solti Restaurant,Restaurant,Roonstraße 16 Spandau 13585 Berlin,Asian,Indian,Mon-Sun: 11:30 - 23:00,Roonstraße 16,Spandau,13585.0
"[52.54222, 13.20359]",Die Wampe,Bar/Pub,Bismarckstraße 60 Spandau 13585 Berlin,German,Mexican,"Mon-Thu, Sun: 19:00 - 14:00, 19:00 - 14:00 Fri, Sat: 19:00 - 15:30, 19:00 - 15:30",Bismarckstraße 60,Spandau,13585.0
"[52.5472, 13.20144]",Kümes Chickenhouse,Restaurant,Schönwalder Straße 94 Spandau 13585 Berlin,Italian,,Mon-Sat: 11:00 - 22:00 Sun: 11:00 - 21:00,Schönwalder Straße 94,Spandau,13585.0
"[52.54169, 13.19948]",Steakhaus Plancha II,Restaurant,Roonstraße 13 Spandau 13585 Berlin,Pizza,German,Mon-Sun: 11:30 - 23:59,Roonstraße 13,Spandau,13585.0
"[52.5464, 13.20291]",Restaurant Mehek,Restaurant,Schönwalder Straße 22 Spandau 13585 Berlin,Asian,Pizza,Mon-Sun: 12:00 - 23:00,Schönwalder Straße 22,Spandau,13585.0
